seq_name	tax_name	percent
01ae84e7ec90d93ede087f2f7e797af2	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus eutactus	99.194
01bc58806a65cc3b86e4506c1d64756f	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_unclassfied;Howardella;Howardella ureilytica	92.857
01ccc583e2ffb57098c886c36391081b	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila	100.0
01d38c43dc2a6138d81b717137f319a0	Bacteria;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;Solitalea canadensis	86.722
01f27e4a237bb42e799ed7998d0234b8	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia;Romboutsia hominis	99.197
02049ebad2934bf3ff2d4f1142322c25	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium;Pectobacterium actinidiae	100.0
0208a9ff3fbb09152e79d90cf0557a8b	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus;Coprococcus eutactus	97.984
020a1eae1b5c1b3170edadbe9ea9307c	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Sporofaciens;Sporofaciens musculi	99.2
0211e54fdd6696b8386ac6ac9d799632	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus albus	91.968
021ee285f7d8455e6375b3b5595f783f	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_unclassfied;[Clostridium] leptum	99.602
0232b56c81bb04fb94bdcfdf8b073ae1	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas endodontalis	100.0
0235a2e4025d3cb1e67faa05d7dbabfc	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium xylanophilum	95.161
023be56f70973e0cba6581202add68b0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;Butyricimonas phoceensis	99.18
0243b68c76049aa1b8c51a20333da950	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospira;Lachnospira eligens	93.676
024404bc7abd52c1572592d3eb4fa1ef	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	98.387
024a981c9630b9e54aa5ed41531344ad	Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia;Romboutsia hominis	99.197
024e963c9ec5338378c9bef019494cfa	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pseudescherichia;Pseudescherichia vulneris	99.429
02514199f015edbc52491c7b6aca8cd1	Bacteria;Lentisphaerota;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;Victivallis vadensis	89.6
0266b37dda69c8fd306c9e0ee679e583	Bacteria;Bacillota;Clostridia;Eubacteriales;Yeguiaceae;Yeguia;Yeguia hominis	100.0
02711bdb4baa57338c9027baf51add69	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	95.161
02805e33afe10af4ec98470384807c2a	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oliverpabstia;Oliverpabstia intestinalis	94.8
0288b0ed816c7449e739d6b5bb72de65	Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Pygmaiobacter;Pygmaiobacter massiliensis	97.166
029b0bae56a9c11c323aa272f3af1b04	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Merdibacter;Merdibacter massiliensis	99.578
029bf93fbd5d5ce0d960d12250fdf4ec	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus xiaochunlingii	99.598
